시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
서울특별시,서초구,서울특별시 서초구 효령로 72길 60,서초지사,공공시설,공공기관,급속,DC콤보,타기관,한국전력,,DC콤보,이용가능,"37.48560466,127.028077"
충청남도,천안시,"충청남도 천안시 서북구 성환읍 천안대로 1853 (매주리, 부영아파트) 302동~304동",성환부영3차아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.903900,127.136000"
전라남도,여수시,전라남도 여수시 웅천로 292,웅천포레스트부영1단지(2022),공동주택시설,아파트,완속,AC완속,타기관(보조금),레드이엔지,,AC완속,이용가능,"34.747,127.687"
경기도,용인시,경기도 용인시 처인구 양지면 양대로 290,금호리조트(주)아시아나CC,상업시설,골프장(CC),완속,AC완속,타기관,채비,,AC완속,이용가능,"37.260944,127.2133465"
경상북도,경산시,경상북도 경산시 진량읍 낙산1길 11-6,한국도로공사 대구지사,공공시설,공공기관,급속,DC콤보,타기관,SK일렉링크,,DC콤보,이용가능,"35.87685,128.814463"
경상남도,창원시,경상남도 창원시 마산회원구 내서읍 삼계5길 30,창원 삼계대동아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),이카플러그,,AC완속,이용가능,"35.22992963,128.5032571"
경기도,고양시,경기도 고양시 일산서구 고양대로 685,일산1차현대홈타운,공동주택시설,아파트,완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"37.6844,126.773"
대구광역시,동구,대구광역시 동구 동부로 149,신세계백화점대구점,상업시설,백화점,완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"35.8795,128.6327"
서울특별시,서초구,서울특별시 서초구 강남대로 465,교보자산신탁(주)(SP),기타시설,기타,완속,AC완속,타기관,파워큐브,,AC완속,이용가능,"37.4884369,127.0398851"
경상남도,합천군,경상남도 합천군 합천읍 충효로 81-13,J모텔,상업시설,숙박시설,완속,AC완속,타기관(보조금),제주전기자동차서비스,,AC완속,이용가능,"35.56751255,128.16048555"
경기도,평택시,경기도 평택시 안중읍 현화중앙길 103,평택현대홈타운3차101동,공동주택시설,아파트,완속,AC완속,타기관(보조금),한국전기차인프라기술,,AC완속,이용가능,"36.9869345,126.9196198"
경기도,시흥시,경기도 시흥시 중심상가로 74,경기시흥 시화대림2단지3,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.349520758,126.72525660"
